ID,Room,UserID,GameName,GameColor,Army,ObjName,ObjDataID,ObjSup,ObjSon,ObjSonNum,ObjSonName,ObjSpace,ObjFlag,ObjPos,ObjIco,ObjIcon,ObjType,ObjRot,ObjStep,ObjStepMax,ObjPass,ObjBlood,ObjBlood2,ObjKeep,ObjSee,ObjHide,ObjAim,ObjValue,ObjValue2,ObjMoney,ObjRound,ObjAttack,ObjDate,ObjRadar,ObjRes,ObjRes2,Slope,A0,B0,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,F0,F1,F2,F3,R1,R2,R3,R4,R5,S1,S2,S3,S4,S5,Wz,Scenario,Area,Level,Scale
16068,32,0,,BLUE,111,坦克,60,0,,0,,0,BLUE,70081,T80,T80,2,0,6,0,0,3,3,0,0,0,0,10.0,0,0,0,0,1900-01-01,0,0,0,30,0,4,1,0,0,0,0,0,0,0,0,0,0.0,1,30.0,0,0.0,2,0,0,30.0,0,6000,1.0,0,0,0,10,10,0,0,0,10,25,0,0,0,"36, 43",01-05-03-03-02,河北,预赛,个人
16069,32,0,,BLUE,112,坦克,60,0,,0,,0,BLUE,80081,T80,T80,2,0,6,0,0,3,3,0,0,0,0,10.0,0,0,0,0,1900-01-01,0,0,0,30,0,4,1,0,0,0,0,0,0,0,0,0,0.0,1,30.0,0,0.0,2,0,0,30.0,0,6000,1.0,0,0,0,10,10,0,0,0,10,25,0,0,0,"36, 43",01-05-03-03-02,河北,预赛,个人
16070,32,0,,BLUE,121,步兵小队,6,0,,0,,0,BLUE,80080,BIA-98,BIA98,1,0,3,0,0,3,3,0,0,0,0,4.0,0,0,0,0,1900-01-01,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0.0,1,10.0,4,0.0,0,0,0,10.0,0,5000,1.0,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",01-05-03-03-02,河北,预赛,个人
16071,32,0,,BLUE,121,战车,32,0,"BIA-AK,COD-M4,BIA-98,COD-98",0,,1,BLUE,80080,BMPIQ,BMP,2,0,7,0,0,3,3,0,0,0,0,8.0,0,0,0,0,1900-01-01,0,0,0,30,0,3,0,0,4,0,0,0,0,0,0,0,0.0,1,40.0,4,0.0,2,0,0,40.0,0,6000,1.0,0,0,0,10,8,0,0,0,10,25,0,0,0,"54, 56, 43, 69",01-05-03-03-02,河北,预赛,个人
16072,32,0,,BLUE,122,步兵小队,6,0,,0,,0,BLUE,80082,BIA-98,BIA98,1,0,3,0,0,3,3,0,0,0,0,4.0,0,0,0,0,1900-01-01,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0.0,1,10.0,4,0.0,0,0,0,10.0,0,5000,1.0,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",01-05-03-03-02,河北,预赛,个人
16073,32,0,,BLUE,122,战车,32,0,"BIA-AK,COD-M4,BIA-98,COD-98",0,,1,BLUE,80082,BMPIQ,BMP,2,0,7,0,0,3,3,0,0,0,0,8.0,0,0,0,0,1900-01-01,0,0,0,30,0,3,0,0,4,0,0,0,0,0,0,0,0.0,1,40.0,4,0.0,2,0,0,40.0,0,6000,1.0,0,0,0,10,8,0,0,0,10,25,0,0,0,"54, 56, 43, 69",01-05-03-03-02,河北,预赛,个人
16074,32,0,,RED,111,重型坦克,57,0,,0,,0,RED,80015,M60A3,GYL,2,180,6,0,0,3,3,0,0,0,0,9.0,0,0,0,0,1900-01-01,0,0,0,30,0,3,1,0,4,0,0,0,0,0,0,0,0.0,1,30.0,4,0.0,2,0,0,30.0,0,6000,1.0,0,0,0,10,10,0,0,0,10,25,0,0,0,"37, 43, 69",01-05-03-03-02,河北,预赛,个人
16075,32,0,,RED,112,重型坦克,57,0,,0,,0,RED,90015,M60A3,GYL,2,180,6,0,0,3,3,0,0,0,0,9.0,0,0,0,0,1900-01-01,0,0,0,30,0,3,1,0,4,0,0,0,0,0,0,0,0.0,1,30.0,4,0.0,2,0,0,30.0,0,6000,1.0,0,0,0,10,10,0,0,0,10,25,0,0,0,"37, 43, 69",01-05-03-03-02,河北,预赛,个人
16076,32,0,,RED,121,步兵小队,1,0,,0,,0,RED,90016,PLA-98,PLA98,1,180,3,0,0,3,3,0,0,0,0,4.0,0,0,0,0,1900-01-01,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0.0,1,10.0,4,0.0,0,0,0,10.0,0,5000,1.0,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",01-05-03-03-02,河北,预赛,个人
16077,32,0,,RED,121,中型战车,63,0,"PLA-95,PLA-98",0,,1,RED,90016,LAV,09,2,180,6,0,0,3,3,0,0,0,0,6.0,0,0,0,0,1900-01-01,0,0,0,25,0,2,0,0,4,0,0,0,0,0,0,0,0.0,1,40.0,4,0.0,3,0,0,40.0,0,6000,1.0,0,0,0,10,8,0,0,0,10,25,0,0,0,"56, 43, 69",01-05-03-03-02,河北,预赛,个人
